date,warrior,ao,type,notes
2026-01-04,Deja vu,2nd-f,2ndF,Slippery ruck
2026-01-04,Mr. Kotter,2nd-f,2ndF,Slippery ruck
2026-01-01,Spit Valve,downrange,Q,downrange - New Years Ruck- EEBC at the Wood
2026-01-01,Spit Valve,downrange,Post,downrange - New Years Ruck- EEBC at the Wood
2026-01-02,Spit Valve,downrange,Q,downrange - Black Panther Run Club
2026-01-02,Spit Valve,downrange,Post,downrange - Black Panther Run Club
2026-01-01,Slackbot,downrange,Q,downrange - FNG New Year BC at BP
2026-01-01,Slackbot,downrange,Post,downrange - FNG New Year BC at BP
2026-01-02,Slackbot,downrange,Q,downrange - DR F3 Indy South
2026-01-02,Slackbot,downrange,Post,downrange - DR F3 Indy South
2026-01-03,Slackbot,downrange,Q,downrange - F3 Indy BC at Sesame Street
2026-01-03,Slackbot,downrange,Post,downrange - F3 Indy BC at Sesame Street
2026-01-02,Dauber,the-olympiad,Post,the-olympiad - Running into the New Year
2026-01-02,Chum Bucket,the-olympiad,Post,the-olympiad - Running into the New Year
2026-01-02,Foreclosure,the-olympiad,Post,the-olympiad - Running into the New Year
2026-01-02,Broomstick,the-olympiad,Post,the-olympiad - Running into the New Year
2026-01-02,Depends (3rdF Q),the-olympiad,Post,the-olympiad - Running into the New Year
2026-01-02,Mr. Kotter,the-colosseum,Post,the-colosseum - 21 x 7 w/ Juanita
2026-01-01,Spit Valve,the-colosseum,Q,the-colosseum - Spity V’s New Year Intervals
2026-01-01,Spit Valve,the-colosseum,Post,the-colosseum - Spity V’s New Year Intervals
2026-01-03,Mr. Kotter,the-colosseum,Post,the-colosseum - Nemo’s ladder!
2026-01-03,Party in a bottle,the-colosseum,Post,the-colosseum - Nemo’s ladder!
2026-01-03,Dilly Dilly,the-ridge,Q,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?
2026-01-03,Dilly Dilly,the-ridge,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?
2026-01-03,Dauber,the-ridge,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?
2026-01-03,Chum Bucket,the-ridge,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?
2026-01-03,Broomstick,the-ridge,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?
2026-01-03,Mr. Kotter,the-ridge,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?
2026-01-01,Pull-up,the-ridge,Post,the-ridge - Zimmer’s Plan C - Ruck Club
2026-01-02,Party in a bottle,the-ridge,Q,the-ridge - It's a party ( in a bottle)
2026-01-02,Party in a bottle,the-ridge,Post,the-ridge - It's a party ( in a bottle)
2026-01-01,Sparkler,black-diamond,Post,black-diamond - Foghorn Brings In 2026
2026-01-01,Broomstick,black-diamond,Post,black-diamond - Foghorn Brings In 2026
2026-01-01,Duck Hunt,black-diamond,Post,black-diamond - Foghorn Brings In 2026
2026-01-03,Duck Hunt,da-grizz,Post,da-grizz - Gotta have more cowbell
2026-01-03,Duck Hunt,da-grizz,Post,da-grizz - Homer's Cliffhanger Ruck
2026-01-02,Duck Hunt,da-grizz,Post,da-grizz - 11x2xHank Hill
2026-01-02,Sparkler,the-grove,Post,the-grove - Foundation's Present Bootcamp at TG
2026-01-02,Pull-up,the-grove,Post,the-grove - Foundation's Present Bootcamp at TG
2026-01-02,Stitch,the-grove,Post,the-grove - Foundation's Present Bootcamp at TG
2026-01-01,Mr. Kotter,el-coyote,Post,el-coyote - Ducks Medicine Ball Ruck
2026-01-01,Duck Hunt,el-coyote,Q,el-coyote - Ducks Medicine Ball Ruck
2026-01-01,Duck Hunt,el-coyote,Post,el-coyote - Ducks Medicine Ball Ruck
